Publication A,Publication B,Number,Publication A xx Publication B
21-D-30,07-A-06,3,Quotes
21-D-30,97-A-04,1,Quotes
21-D-30,12-A-20,5,Quotes
21-D-30,12-D-23,1,Quotes
21-D-30,11-D-19,1,Quotes
21-D-30,14-D-07,27,Quotes
21-D-30,15-D-11,7,Quotes
21-D-30,18-D-23,1,Quotes
21-D-30,19-D-23,1,Quotes
21-D-29,14-D-11,15,Quotes
21-D-28,17-D-27,4,Quotes
21-D-28,19-D-09,2,Quotes
21-D-27,01-D-32,1,Quotes
21-D-27,07-D-41,1,Quotes
21-D-27,05-D-27,1,Quotes
21-D-27,10-D-13,2,Quotes
21-D-27,10-D-15,1,Quotes
21-D-27,10-D-19,1,Quotes
21-D-27,10-D-20,2,Quotes
21-D-27,11-D-02,1,Quotes
21-D-27,12-D-26,1,Quotes
21-D-27,05-D-22,1,Quotes
21-D-27,15-A-16,1,Quotes
21-D-27,17-D-20,2,Quotes
21-D-27,17-D-22,1,Quotes
21-D-27,18-D-04,3,Quotes
21-D-27,18-D-06,2,Quotes
21-D-27,19-D-25,1,Quotes
21-D-26,07-D-50,2,Quotes
21-D-26,05-D-27,1,Quotes
21-D-26,06-D-37,2,Quotes
21-D-26,08-D-25,4,Quotes
21-D-26,10-D-13,1,Quotes
21-D-26,10-D-19,1,Quotes
21-D-26,11-D-02,1,Quotes
21-D-26,05-D-07,1,Quotes
21-D-26,12-D-23,6,Quotes
21-D-26,12-D-10,4,Quotes
21-D-26,11-D-19,2,Quotes
21-D-26,13-D-12,1,Quotes
21-D-26,07-D-06,10,Quotes
21-D-26,05-D-66,1,Quotes
21-D-26,18-D-23,4,Quotes
21-D-26,19-D-14,7,Quotes
21-D-26,19-D-17,2,Quotes
21-D-26,20-D-04,3,Quotes
21-D-26,20-D-20,4,Quotes
21-D-26,21-D-20,7,Quotes
21-D-25,00-D-47,2,Quotes
21-D-25,05-D-49,1,Quotes
21-D-25,09-D-04,1,Quotes
21-D-25,09-D-24,1,Quotes
21-D-25,07-D-28,4,Quotes
21-D-25,10-D-13,1,Quotes
21-D-25,10-D-19,1,Quotes
21-D-25,11-D-02,1,Quotes
21-D-25,11-D-13,1,Quotes
21-D-25,01-D-70,2,Quotes
21-D-25,12-D-24,1,Quotes
21-D-25,12-D-28,1,Quotes
21-D-25,13-D-20,1,Quotes
21-D-25,13-D-07,2,Quotes
21-D-25,13-D-12,1,Quotes
21-D-25,14-D-02,1,Quotes
21-D-25,14-D-06,4,Quotes
21-D-25,14-D-17,1,Quotes
21-D-25,15-D-09,1,Quotes
21-D-25,19-A-12,1,Quotes
21-D-25,20-D-15,1,Quotes
21-D-24,12-D-10,1,Quotes
21-D-24,11-D-19,1,Quotes
21-D-24,19-D-17,1,Quotes
21-D-24,20-D-04,1,Quotes
21-D-24,20-D-20,1,Quotes
21-D-24,21-D-20,1,Quotes
21-D-23,09-A-45,1,Quotes
21-D-23,16-D-15,2,Quotes
21-D-23,18-D-21,1,Quotes
21-D-23,19-D-20,1,Quotes
21-D-23,20-D-16,1,Quotes
21-D-22,09-A-52,1,Quotes
21-D-22,04-D-65,1,Quotes
21-D-22,10-D-13,1,Quotes
21-D-22,10-D-19,1,Quotes
21-D-22,17-D-26,2,Quotes
21-D-22,05-D-63,1,Quotes
21-D-22,07-A-17,2,Quotes
21-D-21,09-D-07,1,Quotes
21-D-21,03-D-68,1,Quotes
21-D-21,07-D-41,1,Quotes
21-D-21,97-D-18,2,Quotes
21-D-21,05-D-27,1,Quotes
21-D-21,04-D-07,2,Quotes
21-D-21,10-D-11,5,Quotes
21-D-21,06-D-30,1,Quotes
21-D-21,10-D-13,2,Quotes
21-D-21,94-D-51,1,Quotes
21-D-21,10-D-19,1,Quotes
21-D-21,10-D-28,1,Quotes
21-D-21,08-D-12,1,Quotes
21-D-21,11-D-02,2,Quotes
21-D-21,12-D-02,1,Quotes
21-D-21,12-D-06,1,Quotes
21-D-21,01-D-41,2,Quotes
21-D-21,12-D-19,2,Quotes
21-D-21,13-D-09,1,Quotes
21-D-21,14-D-19,2,Quotes
21-D-21,14-D-20,1,Quotes
21-D-21,15-D-19,2,Quotes
21-D-21,16-D-09,3,Quotes
21-D-21,16-D-11,1,Quotes
21-D-21,16-D-20,1,Quotes
21-D-21,17-D-25,1,Quotes
21-D-21,18-D-01,2,Quotes
21-D-21,18-D-06,1,Quotes
21-D-21,18-D-24,1,Quotes
21-D-21,19-D-19,2,Quotes
21-D-21,19-D-21,5,Quotes
21-D-21,19-D-24,1,Quotes
21-D-21,20-D-09,2,Quotes
21-D-21,20-D-12,1,Quotes
21-D-21,20-D-17,3,Quotes
21-D-21,98-D-25,1,Quotes
21-D-20,07-D-39,1,Quotes
21-D-20,07-D-23,1,Quotes
21-D-20,04-D-48,1,Quotes
21-D-20,05-D-27,1,Quotes
21-D-20,07-D-47,1,Quotes
21-D-20,08-D-25,2,Quotes
21-D-20,07-D-03,9,Quotes
21-D-20,06-D-03,1,Quotes
21-D-20,08-D-12,1,Quotes
21-D-20,10-D-35,1,Quotes
21-D-20,11-D-02,1,Quotes
21-D-20,01-D-45,4,Quotes
21-D-20,12-D-23,2,Quotes
21-D-20,06-D-04,4,Quotes
21-D-20,12-D-10,1,Quotes
21-D-20,11-D-19,2,Quotes
21-D-20,12-D-11,1,Quotes
21-D-20,02-D-36,8,Quotes
21-D-20,96-D-72,1,Quotes
21-D-20,16-D-26,2,Quotes
21-D-20,18-D-23,2,Quotes
21-D-20,19-A-08,1,Quotes
21-D-20,19-D-05,1,Quotes
21-D-20,19-D-14,5,Quotes
21-D-20,19-D-17,2,Quotes
21-D-20,20-D-04,3,Quotes
21-D-20,20-D-09,1,Quotes
21-D-20,20-D-20,5,Quotes
21-D-20,04-D-73,1,Quotes
21-D-20,21-D-24,1,Is quoted by
21-D-20,21-D-26,7,Is quoted by
21-D-19,17-D-27,2,Quotes
21-D-19,19-D-09,1,Quotes
21-D-19,20-D-09,5,Quotes
21-D-18,03-D-42,1,Quotes
21-D-18,06-D-16,1,Quotes
21-D-18,09-D-30,1,Quotes
21-D-18,09-D-40,1,Quotes
21-D-18,04-D-77,1,Quotes
21-D-18,12-D-16,1,Quotes
21-D-18,12-A-24,1,Quotes
21-D-18,04-D-11,1,Quotes
21-D-18,16-D-12,1,Quotes
21-D-18,16-D-29,1,Quotes
21-D-18,08-D-04,1,Quotes
21-D-18,18-D-20,1,Quotes
21-D-18,19-A-06,1,Quotes
21-D-18,19-D-03,1,Quotes
21-D-18,20-D-08,1,Quotes
21-D-18,07-D-32,1,Quotes
21-D-18,08-D-18,1,Quotes
21-D-17,05-D-49,1,Quotes
21-D-17,06-D-29,1,Quotes
21-D-17,09-MC-02,1,Quotes
